tone: 1		"<img src=""chinese-tone-1.png"" />"				first tone	yoyochinese.com	tones
tone: 2		"<img src=""chinese-tone-2.png"" />"				second tone	yoyochinese.com	tones
tone: 3		"<img src=""chinese-tone-3.png"" />"				third tone	yoyochinese.com	tones
tone: 4		"<img src=""chinese-tone-4.png"" />"				fourth tone	yoyochinese.com	tones
tone: 5		"<img src=""chinese-tone-5.png"" />"				fifth tone	yoyochinese.com	tones
today	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>今天</span></span>"	jīn tiān	[sound:Tone Pair 1-1.mp3]	1+1	yoyochinese.com	pinyin pinyin1
China	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>中国</span></span>"	zhōng guó	[sound:Tone Pair 1-2.mp3]	1+2	yoyochinese.com	pinyin pinyin1
ice water	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>冰水</span></span>"	bīng shuǐ	[sound:Tone Pair 1-3.mp3]	1+3	yoyochinese.com	pinyin pinyin1
to know	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>知道</span></span>"	zhī dào	[sound:Tone Pair 1-4.mp3]	1+4	yoyochinese.com	pinyin pinyin1
really	真的	zhēn de	[sound:Tone Pair 1-5.mp3]	1+5	yoyochinese.com	pinyin pinyin1
tomorrow	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>明天</span></span>"	míng tiān	[sound:Tone Pair 2-1.mp3]	2+1	yoyochinese.com	pinyin pinyin2
next year	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span class="""">明年</span></span>"	míng nián	[sound:Tone Pair 2-2.mp3]	2+2	yoyochinese.com	pinyin pinyin2
beer	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span class="""">啤酒</span></span>"	pí jiǔ	[sound:Tone Pair 2-3.mp3]	2+3	yoyochinese.com	pinyin pinyin2
easy		róng yì	[sound:Tone Pair 2-4.mp3]	2+4	yoyochinese.com	pinyin pinyin2
what	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>什么</span></span>"	shén me	[sound:Tone Pair 2-5.mp3]	2+5	yoyochinese.com	pinyin pinyin2
to like	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span class="""">喜欢</span></span>"	xǐ huān	[sound:Tone Pair 3-1.mp3]	3+1	yoyochinese.com	pinyin pinyin3
to get up	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>起床</span></span>"	qǐ chuáng	[sound:Tone Pair 3-2.mp3]	3+2	yoyochinese.com	pinyin pinyin3
hello	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>你好</span></span>"	nǐ hǎo	[sound:Tone Pair 3-3.mp3]	3+3 &gt; 2+3	yoyochinese.com	pinyin pinyin3
fried rice	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span class="""">炒饭</span></span>"	chǎo fàn	[sound:Tone Pair 3-4.mp3]	3+4	yoyochinese.com	pinyin pinyin3
my, mine	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>我的</span></span>"	wǒ de	[sound:Tone Pair 3-5.mp3]	3+5	yoyochinese.com	pinyin pinyin3
bread	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>面包</span></span>"	miàn bāo	[sound:Tone Pair 4-1.mp3]	4+1	yoyochinese.com	pinyin pinyin5
question	问题	wèn tí	[sound:Tone Pair 4-2.mp3]	4+2	yoyochinese.com	pinyin pinyin5
here	"<span id=""result_box"" class=""short_text"" tabindex=""-1"" lang=""zh-CN""><span>这里</span></span>"	zhè lǐ	[sound:Tone Pair 4-3.mp3]	4+3	yoyochinese.com	pinyin pinyin5
